date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year
2024-03-05,148377976.53671014,1.5122894178929188e-11,817808720.4356092,4.751715371794766e-16,1601840825.0035777,3.71020778477577e-17,227558750.59455782,1.5738760529896592e-17,328289465.28064036,9.928185535653729e-19,5.290051941106962e-16,1.51234231841233e-11,0.011733913094096804,0.024441770566965206,0.7176760082553103,45127,2024
2024-03-06,148416804.32035282,1.511498251882014e-11,819836132.508512,4.728242941319005e-16,1601620498.9745789,3.711228640309147e-17,228193732.69010854,1.565129163770537e-17,327713202.8007602,9.963132379324303e-19,5.265841854106297e-16,1.5115509103005552e-11,0.006869608963642603,0.011595901703645552,0.7163131996900414,44527,2024
2024-03-07,148455870.43740907,1.510702855941329e-11,821845014.4682425,4.705156172056211e-16,1601362030.4711335,3.712426761792322e-17,228823330.41498396,1.5565282390902788e-17,327136557.59322655,9.998287460250367e-19,5.242049959604721e-16,1.510755276440925e-11,0.0008563495508821676,-0.0036499246783161174,0.7151349085308067,44528,2024
2024-03-08,148495116.00055796,1.5099044384403735e-11,823834961.9189879,4.68245331060992e-16,1601065444.067236,3.7138022924285845e-17,229447488.5967526,1.5480714157415465e-17,326559534.4484362,1.0033652162385317e-18,5.218674333589319e-16,1.5099566251837095e-11,0.008793158651304934,0.015073017559902124,0.7188570313626758,43933,2024
2024-03-09,148534487.44620246,1.5091040958015356e-11,825805567.7093275,4.660132656623214e-16,1600730781.9749916,3.715355331554979e-17,230066161.00485873,1.5397567524994973e-17,325982149.407962,1.0069227185424218e-18,5.195713092214086e-16,1.5091560529324576e-11,0.00835971307837182,0.01869617432120151,0.7141343765566887,43932,2024
2024-03-10,148573941.75213566,1.5083027069661988e-11,827756427.0980878,4.638192505904695e-16,1600358110.0303633,3.717085906609573e-17,230679314.44896013,1.531582179727768e-17,325404433.77962154,1.0105012276982465e-18,5.173164326815411e-16,1.508354438609467e-11,0.0012782934244170944,0.0038476701313517915,0.7134268635482826,44230,2024
2024-03-11,148613451.14244443,1.5075008387838566e-11,829687144.9470022,4.616631073433389e-16,1599947522.4963865,3.7189939503974264e-17,231286931.50185665,1.523545469412942e-17,324826436.30776715,1.014100607153236e-18,5.1510260214859575e-16,1.5075523490440715e-11,0.00481136248834421,0.013141912799412464,0.7228448340536489,43341,2024
2024-03-12,148653005.70606658,1.5066986941601493e-11,831597343.3730491,4.595446414482218e-16,1599499143.934208,3.7210792917861844e-17,231889010.62128213,1.5156442405018622e-17,324248222.3243899,1.0177206113926526e-18,5.129295973824949e-16,1.5067499871198877e-11,0.0009180391465379571,0.004198088791928318,0.7228696453370347,44827,2024
2024-03-13,148692612.92023233,1.505896123155013e-11,833486667.7461298,4.574636367084281e-16,1599013127.2554624,3.723341664012905e-17,232485563.31807148,1.5078760021908542e-17,323669869.7585992,1.021360908224843e-18,5.107971742786905e-16,1.505947202872441e-11,0.017988677062474413,0.033438148789008124,0.7114118148927314,43638,2024
2024-03-14,148732294.28531423,1.5050926924978613e-11,835354789.4715149,4.554198531772284e-16,1598489648.552555,3.725780727930234e-17,233076609.21630687,1.5002382222629926e-17,323091463.15472746,1.0250211144525738e-18,5.087050637936132e-16,1.5051435630042406e-11,0.009060578509621532,0.016617259152497423,0.7107606544654987,43933,2024
