date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year,total_gravitational_influence
2021-09-26,149996481.76378703,1.4798294177118495e-11,629154997.351334,8.028577274823895e-16,1397986218.4028685,4.8711462423512936e-17,138400213.34847584,4.254848387555679e-17,394516392.2597696,6.87469874452379e-19,8.948051436559115e-16,1.4799188982262153e-11,0.0056102539505863,0.0106166797164862,1.813488101864944,40755,2021,8.948051436559115e-16
2021-09-27,149954985.29473776,1.4806485460931816e-11,630663911.3636761,7.990205203250041e-16,1400053753.121884,4.8567698977769813e-17,137278825.19689852,4.324645376946977e-17,394460925.8001316,6.8766322288538875e-19,8.91522336295129e-16,1.480737698326811e-11,-0.0108369345829269,-0.01531238669729,1.8176543999987973,41321,2021,8.91522336295129e-16
2021-09-28,149913443.8719966,1.4814692432587814e-11,632205272.4619423,7.951291329485889e-16,1402145139.902781,4.842292353494853e-17,136155967.70751336,4.3962688792431306e-17,394396188.6165328,6.878889909592013e-19,8.88202634266928e-16,1.481558063522208e-11,0.0006438151677983,0.0044893551113682,1.812984573494619,41040,2021,8.88202634266928e-16
2021-09-29,149871836.7845453,1.4822919218595216e-11,633778533.5183958,7.911864526897515e-16,1404259746.3410442,4.8277197888410746e-17,135031677.5242022,4.4697813871357816e-17,394322160.70019656,6.881472963437354e-19,8.848496117458638e-16,1.4823804068206963e-11,0.0069784332877463,0.0057116784588353,1.815256630365324,41326,2021,8.848496117458638e-16
2021-09-30,149830141.51595864,1.4831170316642317e-11,635383135.6782314,7.87195360177148e-16,1406396929.2860885,4.8130583789699467e-17,133905986.881923,4.545248368420052e-17,394238820.2889182,6.884382699240596e-19,8.814668659209721e-16,1.483205178350824e-11,-0.0095407893871807,-0.0046511396525083,1.8177663445151973,41325,2021,8.81466865920972e-16
2021-10-01,149788333.90631333,1.483945056511403e-11,637018507.7940825,7.83158727471023e-16,1408556034.1807992,4.798314296316437e-17,132778923.41124298,4.6227384557872475e-17,394146144.1777405,6.887620548118951e-19,8.780580170468719e-16,1.4840328623131075e-11,-0.0270833835685731,-0.0371443709239744,1.818089885218919,41610,2021,8.780580170468718e-16
2021-10-02,149746388.4955408,1.4847765076502737e-11,638684065.467624,7.790794172164497e-16,1410736394.010043,4.7834937146879547e-17,131650509.81357072,4.702323660413551e-17,394044108.2158339,6.89118804711075e-19,8.746267097721759e-16,1.484863970321251e-11,0.0106614591683466,0.0116059969354925,1.821420911015799,41904,2021,8.746267097721759e-16
2021-10-03,149704279.31106994,1.4856119082335975e-11,640379209.5574555,7.749602831003847e-16,1412937327.8008816,4.768602816286304e-17,130520763.6330932,4.784079595747913e-17,393932688.26898247,6.89508680653517e-19,8.711766159013805e-16,1.4856990258951875e-11,-0.0181646122033714,-0.0172550385992051,1.8068350104304447,41325,2021,8.711766159013804e-16
2021-10-04,149661981.36391658,1.4864517636624437e-11,642103324.1623837,7.708041715193759e-16,1415158138.792443,4.753647800768402e-17,129389697.45754312,4.868085686784152e-17,393811861.9289832,6.89931845107048e-19,8.677114382400085e-16,1.4865385348062678e-11,-0.0129424256420614,-0.0143002653686372,1.8113701310555768,40755,2021,8.677114382400085e-16
2021-10-05,149619473.02812985,1.4872965142203962e-11,643855774.3420182,7.666139237628428e-16,1417398112.6492462,4.738634893773394e-17,128257319.94994216,4.954425329319962e-17,393681611.1550715,6.903884527825974e-19,8.642349144465589e-16,1.4873829377118407e-11,-0.0159515826377874,-0.0319339139460008,1.8098959235419056,41328,2021,8.64234914446559e-16
2021-10-06,149576739.24617308,1.4881464710309863e-11,645635904.1657851,7.623923772799029e-16,1419656516.3768983,4.7235703505421104e-17,127123638.06642193,5.043185959995549e-17,393541925.78276056,6.908786383341098e-19,8.607508190236136e-16,1.4882325461128886e-11,0.0024718634370385,0.0064475738841181,1.803546384875088,42770,2021,8.607508190236136e-16
2021-10-07,149533775.1301894,1.4890017437975096e-11,647443035.9606272,7.581423640376569e-16,1421932598.7690356,4.708460449298737e-17,125988660.56456427,5.134459010464943e-17,393392807.436054,6.914025025437039e-19,8.572629611378376e-16,1.4890874700936233e-11,-0.0013459155527052,0.0113691597797524,1.813594145544136,42486,2021,8.572629611378375e-16
2021-10-08,149490589.1429871,1.4898621765369645e-11,649276471.6371535,7.538667040963848e-16,1424225593.066883,4.693311470250161e-17,124852402.4478963,5.2283397528123773e-17,393234272.9659697,6.919601000475081e-19,8.537751764270579e-16,1.4899475540546073e-11,0.0124451061985756,0.0187975789718092,1.804543778332384,40469,2021,8.537751764270578e-16
