[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] 
[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] TEP GNSS Analysis Package v0.15 (Jaipur) - STEP 3.1: Robust Block Bootstrap
[03:44:53] [DEBUG] Loaded 1520 chunks...
[03:44:53] [DEBUG] Loaded 1530 chunks...
[03:44:54] [DEBUG] Loaded 1540 chunks...
[03:44:54] [DEBUG] Loaded 1550 chunks...
[03:44:54] [DEBUG] Loaded 1560 chunks...
[03:44:57] [SUCCESS] Loaded Step 2.1 dataset: 39,047,074 pairs for code
[03:44:57] [DEBUG] Columns: ['date', 'station_i', 'station_j', 'dist_km', 'plateau_phase', 'station1_lat', 'station1_lon', 'station2_lat', 'station2_lon', 'azimuth', 'delta_longitude', 'delta_local_time', 'coherence']
[03:44:59] [DEBUG] Date range: 2023-01-01 00:00:00 to 2025-06-30 00:00:00
[03:44:59] [WARNING] High memory usage detected in After loading code dataset: 4877.47 MB
[03:44:59] [DEBUG] Memory cleanup: RSS=4877.47 MB, VMS=10072.93 MB
[03:45:03] [INFO] ============================================================
[03:45:03] [PROCESS] Starting Station Block Bootstrap Analysis...
[03:45:06] [DEBUG] Configuration: TEP_STATION_BOOTSTRAP_SAMPLES = 50
[03:45:06] [INFO] Running 50 station bootstrap samples from 345 unique stations
[03:45:06] [INFO] Using 96 parallel workers for bootstrap processing
[03:45:06] [PROCESS] Pre-computing station pairs for efficient bootstrap sampling...
[03:45:10] [PROCESS] Pre-computing station 1/345: ABMF00GLP
[03:47:30] [PROCESS] Pre-computing station 51/345: DLF100NLD
[03:49:50] [PROCESS] Pre-computing station 101/345: JOZ200POL
[03:52:11] [PROCESS] Pre-computing station 151/345: MOBS00AUS
[03:54:34] [PROCESS] Pre-computing station 201/345: REDU00BEL
[03:56:56] [PROCESS] Pre-computing station 251/345: TWTF00TWN
[03:59:20] [PROCESS] Pre-computing station 301/345: DAV100ATA
[04:01:26] [SUCCESS] Pre-computed pair indices for 345 stations
[04:01:28] [DEBUG] Memory cleanup: RSS=7345.48 MB, VMS=12565.13 MB
[04:01:28] [WARNING] High memory usage detected in Station Bootstrap Start: 7345.48 MB
[04:01:29] [DEBUG] Memory cleanup: RSS=7345.48 MB, VMS=12565.13 MB
[04:01:29] [INFO] Processing 50 bootstrap samples sequentially (multiprocessing disabled for large datasets)
[04:01:29] [INFO] Running diagnostic check with first 5 samples...
[04:01:44] [INFO] Diagnostic sample 0: SUCCESS - λ=3247.7 km, R²=0.134
[04:02:00] [INFO] Diagnostic sample 1: SUCCESS - λ=3287.2 km, R²=0.313
[04:02:15] [INFO] Diagnostic sample 2: SUCCESS - λ=3274.0 km, R²=0.287
[04:02:31] [INFO] Diagnostic sample 3: SUCCESS - λ=3492.9 km, R²=0.138
[04:02:47] [INFO] Diagnostic sample 4: SUCCESS - λ=3448.1 km, R²=0.384
[04:02:47] [SUCCESS] Diagnostic complete: 5/5 samples successful
[04:05:08] [PROCESS] Station bootstrap progress: 10/50 (20.0%), 9 successful
[04:07:49] [PROCESS] Station bootstrap progress: 20/50 (40.0%), 19 successful
[04:10:27] [PROCESS] Station bootstrap progress: 30/50 (60.0%), 29 successful
[04:13:04] [PROCESS] Station bootstrap progress: 40/50 (80.0%), 39 successful
[04:15:44] [PROCESS] Station bootstrap progress: 50/50 (100.0%), 49 successful
[04:16:02] [DEBUG] Memory cleanup: RSS=7362.48 MB, VMS=12608.70 MB
[04:16:03] [DEBUG] Memory cleanup: RSS=4887.33 MB, VMS=10108.93 MB
[04:16:03] [SUCCESS] Station Block Bootstrap complete: λ = 3294.4 ± 111.8 km (CV = 0.034)
[04:16:03] [DEBUG] Memory cleanup: RSS=4887.33 MB, VMS=10108.93 MB
[04:16:03] [WARNING] High memory usage detected in After Station Bootstrap: 4887.33 MB
[04:16:03] [DEBUG] Memory cleanup: RSS=4887.33 MB, VMS=10108.93 MB
[04:16:03] [INFO] ============================================================
[04:16:03] [PROCESS] Starting Day Block Bootstrap Analysis...
[04:16:03] [WARNING] High memory usage detected in Day Bootstrap Start: 4887.33 MB
[04:16:03] [DEBUG] Memory cleanup: RSS=4887.33 MB, VMS=10108.93 MB
[04:16:03] [INFO] Running 300 day bootstrap samples from 912 unique days
[04:18:54] [PROCESS] Day bootstrap progress: 30/300 (10.0%)
[04:21:52] [PROCESS] Day bootstrap progress: 60/300 (20.0%)
[04:24:49] [PROCESS] Day bootstrap progress: 90/300 (30.0%)
[04:27:46] [PROCESS] Day bootstrap progress: 120/300 (40.0%)
[04:30:42] [PROCESS] Day bootstrap progress: 150/300 (50.0%)
[04:33:39] [PROCESS] Day bootstrap progress: 180/300 (60.0%)
[04:36:37] [PROCESS] Day bootstrap progress: 210/300 (70.0%)
[04:39:35] [PROCESS] Day bootstrap progress: 240/300 (80.0%)
[04:42:31] [PROCESS] Day bootstrap progress: 270/300 (90.0%)
[04:45:27] [PROCESS] Day bootstrap progress: 300/300 (100.0%)
[04:45:33] [SUCCESS] Day Block Bootstrap complete: λ = 3267.4 ± 55.9 km (CV = 0.017)
[04:45:33] [DEBUG] Memory cleanup: RSS=7546.59 MB, VMS=12767.84 MB
[04:45:33] [DEBUG] Memory cleanup: RSS=4887.69 MB, VMS=10108.93 MB
[04:45:33] [WARNING] High memory usage detected in After Day Bootstrap: 4887.69 MB
[04:45:33] [DEBUG] Memory cleanup: RSS=4887.69 MB, VMS=10108.93 MB
[04:45:33] [INFO] ============================================================
[04:45:33] [PROCESS] Starting Hybrid Block Bootstrap Analysis...
[04:45:33] [WARNING] High memory usage detected in Hybrid Bootstrap Start: 4887.69 MB
[04:45:33] [DEBUG] Memory cleanup: RSS=4887.69 MB, VMS=10108.93 MB
[04:45:37] [INFO] Running 200 hybrid bootstrap samples from 345 stations and 912 days
[04:48:15] [PROCESS] Hybrid bootstrap progress: 20/200 (10.0%)
[04:50:59] [PROCESS] Hybrid bootstrap progress: 40/200 (20.0%)
[04:53:45] [PROCESS] Hybrid bootstrap progress: 60/200 (30.0%)
[04:56:30] [PROCESS] Hybrid bootstrap progress: 80/200 (40.0%)
[04:59:15] [PROCESS] Hybrid bootstrap progress: 100/200 (50.0%)
[05:02:02] [PROCESS] Hybrid bootstrap progress: 120/200 (60.0%)
[05:04:46] [PROCESS] Hybrid bootstrap progress: 140/200 (70.0%)
[05:07:31] [PROCESS] Hybrid bootstrap progress: 160/200 (80.0%)
[05:10:16] [PROCESS] Hybrid bootstrap progress: 180/200 (90.0%)
[05:13:01] [PROCESS] Hybrid bootstrap progress: 200/200 (100.0%)
[05:13:09] [SUCCESS] Hybrid Block Bootstrap complete: λ = 3277.9 ± 142.7 km (CV = 0.044)
[05:13:09] [DEBUG] Memory cleanup: RSS=7182.35 MB, VMS=12403.59 MB
[05:13:09] [DEBUG] Memory cleanup: RSS=4887.70 MB, VMS=10108.93 MB
[05:13:09] [INFO] ============================================================
[05:13:09] [PROCESS] Assessing bootstrap method consistency...
[05:13:09] [INFO] Bootstrap consistency: high (CV = 0.003)
[05:13:09] [SUCCESS] Robust block bootstrap analysis complete for code
[05:13:09] [INFO] Successful methods: ['station', 'day', 'hybrid']
[05:13:09] [SUCCESS] Results saved to: /mnt/data/results/outputs/step_3_1_robust_block_bootstrap_code.json
[05:13:09] [DEBUG] Memory cleanup: RSS=991.15 MB, VMS=6212.15 MB
[05:13:09] [DEBUG] Memory usage after code: RSS=991.15 MB, VMS=6212.15 MB
[05:13:09] [INFO] Performing additional memory cleanup for CODE dataset...
[05:13:10] [DEBUG] Memory cleanup: RSS=991.15 MB, VMS=6212.15 MB
[05:13:10] [INFO] 
[05:13:10] [PROCESS] Processing analysis center: ESA_FINAL
[05:13:10] [INFO] --------------------------------------------------
[05:13:10] [PROCESS] Starting robust block bootstrap analysis for esa_final
[05:13:10] [PROCESS] Loading complete pair dataset for esa_final with chunking (chunk_size=25000)...
[05:13:10] [INFO] Using filtered Step 2.1 geospatial data: step_2_1_geospatial_esa_final.csv
[05:13:10] [INFO] Large file detected (1395.7 MB), using chunked loading...
[05:13:10] [DEBUG] Loaded 10 chunks...
[05:13:10] [DEBUG] Loaded 20 chunks...
[05:13:10] [DEBUG] Loaded 30 chunks...
[05:13:10] [DEBUG] Loaded 40 chunks...
[05:13:11] [DEBUG] Loaded 50 chunks...
[05:13:11] [DEBUG] Loaded 60 chunks...
[05:13:11] [DEBUG] Loaded 70 chunks...
[05:13:11] [DEBUG] Loaded 80 chunks...
[05:13:12] [DEBUG] Loaded 90 chunks...
[05:13:12] [DEBUG] Loaded 100 chunks...
[05:13:12] [DEBUG] Loaded 110 chunks...
[05:13:12] [DEBUG] Loaded 120 chunks...
[05:13:13] [DEBUG] Loaded 130 chunks...
[05:13:13] [DEBUG] Loaded 140 chunks...
[05:13:13] [DEBUG] Loaded 150 chunks...
[05:13:13] [DEBUG] Loaded 160 chunks...
[05:13:14] [DEBUG] Loaded 170 chunks...
[05:13:14] [DEBUG] Loaded 180 chunks...
[05:13:14] [DEBUG] Loaded 190 chunks...
[05:13:14] [DEBUG] Loaded 200 chunks...
[05:13:15] [DEBUG] Loaded 210 chunks...
[05:13:15] [DEBUG] Loaded 220 chunks...
[05:13:15] [DEBUG] Loaded 230 chunks...
[05:13:15] [DEBUG] Loaded 240 chunks...
[05:13:16] [DEBUG] Loaded 250 chunks...
[05:13:16] [DEBUG] Loaded 260 chunks...
[05:13:16] [DEBUG] Loaded 270 chunks...
[05:13:16] [DEBUG] Loaded 280 chunks...
[05:13:17] [DEBUG] Loaded 290 chunks...
[05:13:17] [DEBUG] Loaded 300 chunks...
[05:13:17] [DEBUG] Loaded 310 chunks...
[05:13:17] [DEBUG] Loaded 320 chunks...
[05:13:18] [DEBUG] Loaded 330 chunks...
[05:13:18] [DEBUG] Loaded 340 chunks...
[05:13:18] [DEBUG] Loaded 350 chunks...
[05:13:18] [DEBUG] Loaded 360 chunks...
[05:13:19] [DEBUG] Loaded 370 chunks...
[05:13:19] [DEBUG] Loaded 380 chunks...
[05:13:19] [DEBUG] Loaded 390 chunks...
[05:13:19] [DEBUG] Loaded 400 chunks...
