[23:31:53] [INFO] 
[23:31:53] [INFO] ================================================================================
[23:31:53] [INFO] TEP GNSS Analysis Package v0.15 (Jaipur) - STEP 1.1: Data Acquisition
[23:31:53] [INFO] ================================================================================
[23:31:53] [INFO] 
[23:31:53] [PROCESS] Building comprehensive station catalogue from authoritative sources
[23:31:53] [PROCESS] Fetching coordinates from authoritative sources...
[23:31:53] [PROCESS] Building comprehensive coordinate catalogue...
[23:31:53] [PROCESS] Fetching IGS network coordinates...
[23:31:54] [SUCCESS] Retrieved 767 stations from IGS network
[23:31:54] [PROCESS] Calculating geomagnetic coordinates for all stations...
[23:31:54] [SUCCESS] Geomagnetic coordinate calculation complete: 767 successful, 0 failed
[23:31:54] [SUCCESS] Built coordinate catalogue: 767 unique stations
[23:31:54] [SUCCESS] Stations with valid coordinates: 767/767 (100.0%)
[23:31:54] [SUCCESS] Geomagnetic coordinates: 767/767 stations (100.0%)
[23:31:54] [SUCCESS] Station catalogue built: 767 stations saved to step_1_1_station_coords_global.csv
[23:31:54] [INFO] Coordinate verification summary:
[23:31:54] [INFO]   Total stations in catalogue: 767
[23:31:54] [SUCCESS]   Stations with valid coordinates: 767
[23:31:54] [SUCCESS]   Verified stations for analysis: 767
[23:31:54] [SUCCESS] Final station catalogue: 767 stations (767 with valid coordinates)
[23:31:54] [INFO] Existing clock files: IGS:0 CODE:0 ESA:0
[23:31:54] [PROCESS] Generating download tasks...
[23:31:54] [INFO] Using date filter 2023-01-01 → 2025-06-30 (912 days)
[23:31:54] [SUCCESS] Tasks generated: IGS:912 CODE:912 ESA:912
[23:31:54] [INFO] 
[23:31:54] [INFO] ================================================================================
[23:31:54] [INFO] PARALLEL CLOCK FILE ACQUISITION
[23:31:54] [INFO] ================================================================================
[23:31:54] [INFO] 
[23:31:54] [PROCESS] Processing IGS: 912 files with 96 workers
[23:31:54] [PROCESS] IGS: Downloading 912 missing files...
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230470000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 6.5% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230610000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 6.6% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230150000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 6.7% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230070000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 6.8% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230300000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 6.9% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230010000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 7.0% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230480000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 7.1% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230810000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 7.2% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230780000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 7.3% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230790000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 7.5% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230600000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 7.6% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230230000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 7.7% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230580000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 7.8% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230620000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 7.9% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230710000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 8.0% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230450000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 8.1% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230430000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 8.2% | ETA: 2min
[23:32:03] [INFO] [PROGRESS] Overall: 75/912 files (8.2%) | Rate: 8.2 files/sec
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230840000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 8.3% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230630000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 8.4% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230650000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 8.6% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230880000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 8.7% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230370000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 8.8% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230420000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 8.9% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230860000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 9.0% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230760000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 9.1% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230510000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 9.2% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230440000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 9.3% | ETA: 2min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230500000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 9.4% | ETA: 1min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230080000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 9.5% | ETA: 1min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230020000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 9.6% | ETA: 1min
[23:32:03] [SUCCESS] IGS: IGS0OPSFIN_20230100000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 9.8% | ETA: 1min
[23:32:04] [SUCCESS] IGS: IGS0OPSFIN_20230560000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 9.9% | ETA: 2min
[23:32:05] [SUCCESS] IGS: IGS0OPSFIN_20230590000_01D_30S_CLK.CLK.gz (2.0MB) | Progress: 10.0% | ETA: 2min
[23:32:05] [SUCCESS] IGS: IGS0OPSFIN_20230750000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.1% | ETA: 2min
[23:32:06] [SUCCESS] IGS: IGS0OPSFIN_20230940000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.2% | ETA: 2min
[23:32:06] [SUCCESS] IGS: IGS0OPSFIN_20230090000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.3% | ETA: 2min
[23:32:06] [SUCCESS] IGS: IGS0OPSFIN_20230820000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.4% | ETA: 2min
[23:32:06] [SUCCESS] IGS: IGS0OPSFIN_20230680000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.5% | ETA: 2min
[23:32:07] [SUCCESS] IGS: IGS0OPSFIN_20230970000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.6% | ETA: 2min
[23:32:07] [SUCCESS] IGS: IGS0OPSFIN_20231010000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.7% | ETA: 2min
[23:32:08] [SUCCESS] IGS: IGS0OPSFIN_20230990000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 10.9% | ETA: 2min
[23:32:08] [SUCCESS] IGS: IGS0OPSFIN_20231030000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 11.0% | ETA: 2min
[23:32:08] [INFO] [PROGRESS] Overall: 100/912 files (11.0%) | Rate: 7.2 files/sec
