code,coord_source_code,lat_deg,lon_deg,height_m,X,Y,Z,geomag_lat,geomag_lon,has_coordinates
USP100FJI,USP1,-18.149,178.446,70.6,-6060627.2843,164379.897,-1974093.2186,-22.659216539401758,178.446,True
USUD00JPN,USUD,36.133,138.362,1508.619,-3855263.0361,3427432.5571,3741020.2929,31.07829844578535,138.362,True
UTQI00USA,UTQI,71.323,-156.615,12.1,-1880399.9215,-813136.6979,6019921.5735,71.96629207497045,-156.615,True
UZHL00UKR,UZHL,48.632,22.298,232.0,3907587.665,1602428.534,4763783.686,47.6929899022569,22.298,True
VACS00MUS,VACS,-20.297,57.497,420.4,3215946.33,5047448.47,-2198719.6,-33.827065536426744,57.497,True
VALD00CAN,VALD,48.097,-77.564,312.8,919075.83,-4167766.23,4724323.53,57.019098673195884,-77.564,True
VALP00CHL,VALP,-33.027,-71.626,31.0,1687310.0,-5079965.0,-3456509.0,-18.98659912564,-71.626,True
VENE00ITA,VENE,45.437,12.332,67.1,4379724.87,957495.752,4521605.119,43.11711672170653,12.332,True
VESL00ATA,VESL,-71.674,-2.842,862.4,2009329.7,-99741.5,-6033158.5,-41.97395453670648,-2.842,True
VILL00ESP,VILL,40.444,-3.952,647.4,4849833.874,-335049.255,4116014.809,35.64991611606021,-3.952,True
VIS000SWE,VIS0,57.654,18.367,79.8,3246470.561,1077900.313,5365277.902,56.72912609661277,18.367,True
VNDP00USA,VNDP,34.556,-120.616,-11.5,-2678090.1164,-4525437.3954,3597431.7369,39.567890926298524,-120.616,True
VOIM00MDG,VOIM,-21.906,46.793,1163.3,4054014.146,4316070.229,-2365224.017,-35.47205518650232,46.793,True
VS0G00SWE,VS0G,57.654,18.367,79.766,3246470.474614,1077900.36922659,5365278.03021857,56.72912616360451,18.367,True
WAB200CHE,WAB2,46.924,7.464,611.0,4327318.0,566956.0,4636426.0,44.373847274140154,7.464,True
WARK00NZL,WARK,-36.434,174.663,111.3,-5115333.2299,477886.9079,-3767147.473,-43.80092369269151,174.663,True
WARN00DEU,WARN,54.17,12.101,50.7,3658785.6,784471.1,5147870.7,52.73309575677973,12.101,True
WDC300USA,WDC3,38.921,-77.066,57.872,1112160.327,-4842854.274,3985496.368,46.96883316326475,-77.066,True
WDC400USA,WDC4,38.921,-77.066,57.872,1112160.327,-4842854.274,3985496.368,46.96883316326475,-77.066,True
WDC500USA,WDC5,38.921,-77.066,59.0,1112158.868,-4842855.614,3985496.946,46.9688329376124,-77.066,True
WDC600USA,WDC6,38.921,-77.066,59.0,1112158.868,-4842855.614,3985496.946,46.9688329376124,-77.066,True
WEL100NZL,WEL1,-41.273,174.779,46.9,-4780787.068,436877.203,-4185258.942,-48.91994563677943,174.779,True
WEL200NZL,WEL2,-41.273,174.779,46.9,-4780787.068,436877.203,-4185258.942,-48.91994563677943,174.779,True
WES200USA,WES2,42.613,-71.493,85.0,1492233.247,-4458089.489,4296046.035,49.31191358713539,-71.493,True
WETT00DEU,WETT,49.144,12.879,665.88,4075581.6493,931845.9972,4801568.5138,47.38292492934241,12.879,True
WGTN00NZL,WGTN,-41.323,174.806,26.06,-4777269.46,434270.155,-4189484.491,-48.96520908944236,174.806,True
WHC100USA,WHC1,33.98,-118.031,94.25,-2488199.3244,-4673487.1517,3544649.2637,39.590169993106976,-118.031,True
WHI100USA,WHI1,33.974,-118.034,65.73,-2488634.1496,-4673655.8287,3544074.0641,39.583604452744986,-118.034,True
WHIT00CAN,WHIT,60.751,-135.222,1427.0,-2218337.85,-2201205.06,5543057.57,63.328980036349634,-135.222,True
WIDC00USA,WIDC,33.935,-116.392,445.04,-2354850.17,-4745524.01,3540693.1,39.90939848629716,-116.392,True
WILL00CAN,WILL,52.237,-122.168,1096.0,-2084258.016,-3313872.98,5019853.081,57.494534905066146,-122.168,True
WIND00NAM,WIND,-22.575,17.089,1734.7,5633708.7802,1732017.696,-2433985.8026,-45.28974024612627,17.089,True
WLSN00USA,WLSN,34.226,-118.056,1705.26,-2483640.9494,-4660072.8425,3568172.1952,39.82667110584472,-118.056,True
WROC00POL,WROC,51.113,17.062,180.3,3835751.0,1177249.0,4941605.0,49.91154652540895,17.062,True
WSLR00CAN,WSLR,50.127,-122.921,909.0,-2227013.61,-3439649.1,4872522.22,54.91360483693428,-122.921,True
WSRT00NLD,WSRT,52.915,6.604,86.0,3828739.0,443305.0,5064887.0,50.98413727104988,6.604,True
WTZ300DEU,WTZ3,49.145,12.879,663.4,4075535.3,931822.185,4801608.915,47.384042233618466,12.879,True
WTZA00DEU,WTZA,49.144,12.879,665.9,4075578.1,931853.1,4801570.2,47.38292488516561,12.879,True
WTZJ00DEU,WTZJ,49.144,12.879,665.9,4075580.0194,931855.2287,4801568.1824,47.38292488516561,12.879,True
WTZR00DEU,WTZR,49.144,12.879,666.0,4075580.685,931853.66,4801568.054,47.3829246642815,12.879,True
WTZS00DEU,WTZS,49.145,12.879,663.4,4075534.9,931822.6,4801609.2,47.384042233618466,12.879,True
WTZT00DEU,WTZT,49.144,12.879,665.9,4075577.614,931855.281,4801570.212,47.38292488516561,12.879,True
WTZZ00DEU,WTZZ,49.144,12.879,665.8,4075579.1,931853.4,4801569.2,47.38292510604967,12.879,True
WUH200CHN,WUH2,30.532,114.357,25.8,-2267749.0,5009154.0,3221290.0,28.54125709994654,114.357,True
WUHN00CHN,WUHN,30.532,114.357,28.2,-2267750.266,5009156.142,3221291.898,28.5412531768592,114.357,True
WUTH00NOR,WUTH,77.003,15.539,52.2,1386490.169,385514.005,6192887.206,74.06912537276312,15.539,True
XIAN00CHN,XIAN,34.369,109.221,464.41,-1735213.101,4976840.368,3580538.458,33.90830949027741,109.221,True
XMIS00AUS,XMIS,-10.45,105.689,261.5,-1696344.7606,6039590.007,-1149275.0793,-21.054022004255916,105.689,True
YAKA00RUS,YAKA,62.031,129.681,100.06,-1915023.2516,2308213.3141,5610225.0843,64.64578163362862,129.681,True
YAKT00RUS,YAKT,62.031,129.68,103.37,-1914998.836,2308241.52,5610225.578,64.64604397248897,129.68,True
YAKZ00RUS,YAKZ,62.031,129.681,100.064,-1915023.2516,2308213.3141,5610225.0843,64.64578162549945,129.681,True
YAR100AUS,YAR1,-29.047,115.347,241.297,-2389025.4954,5043316.8722,-3078530.7858,-44.319505155343464,115.347,True
YAR200AUS,YAR2,-29.047,115.347,241.3,-2389026.6092,5043317.0543,-3078529.5526,-44.319505153477905,115.347,True
YAR300AUS,YAR3,-29.046,115.347,242.4,-2389043.7652,5043313.5826,-3078524.3872,-44.31815773190976,115.347,True
YARR00AUS,YARR,-29.047,115.347,241.3,-2389025.573,5043315.5356,-3078532.971,-44.319505153477905,115.347,True
YEBE00ESP,YEBE,40.525,-3.089,972.8,4848724.95,-261632.509,4123093.952,35.81297505486019,-3.089,True
YEL200CAN,YEL2,62.481,-114.481,181.008,-1224441.9824,-2689174.6494,5633660.3762,71.29213093012301,-114.481,True
YELL00CAN,YELL,62.481,-114.481,181.0,-1224452.4,-2689216.0,5633638.2,71.2921309496018,-114.481,True
YIBL00OMN,YIBL,22.186,56.112,95.1,3294552.811,4905092.434,2393579.637,19.069952088958594,56.112,True
YKRO00CIV,YKRO,6.871,-5.24,270.0,6306439.897,-578380.783,757956.481,-6.929740155824024,-5.24,True
YONS00KOR,YONS,37.541,127.001,96.849,-3047506.741,4043980.58,3865243.01,35.03185274459131,127.001,True
YSSK00RUS,YSSK,47.03,142.717,91.289,-3465320.847,2638269.382,4644085.485,42.751150286177655,142.717,True
ZAMB00ZMB,ZAMB,-15.426,28.311,1324.914,5415353.011,2917209.914,-1685888.865,-33.25564448781969,28.311,True
ZECK00RUS,ZECK,43.788,41.565,1167.0,3451175.15,3060335.95,4391955.97,44.16384048221195,41.565,True
ZIM200CHE,ZIM2,46.877,7.465,956.5,4331300.16,567537.081,4633133.51,44.319069865911686,7.465,True
ZIM300CHE,ZIM3,46.877,7.465,956.5,4331300.16,567537.081,4633133.51,44.319069865911686,7.465,True
ZIMJ00CHE,ZIMJ,46.877,7.465,954.3,4331294.043,567541.982,4633135.625,44.31907422683043,7.465,True
ZIMM00CHE,ZIMM,46.877,7.465,956.4,4331297.348,567555.639,4633133.728,44.31907006413504,7.465,True
ZIMZ00CHE,ZIMZ,46.877,7.465,953.9,4331292.816,567545.19,4633135.862,44.31907501972572,7.465,True
ZWE200RUS,ZWE2,55.7,36.76,272.0,2886359.0,2155972.0,5245886.0,56.407811011360195,36.76,True
ZWEN00RUS,ZWEN,55.7,36.76,270.0,2886359.1,2155972.8,5245886.9,56.40781486052562,36.76,True
